ClientID	surname	givenname	dateofbirth	homeemail	AlternateEmailAddress	MemberNumber	AccountTypeCode	UniSuperIdentifier
14288775	MITCHELL	Marcia	1971-11-24	marciajmitchell@gll12lfh.mailosaur.net		14288775	AB	100380039
14288784	1304784	John	1990-01-01	testuser01@gll12lfh.mailosaur.net	testuser01@gll12lfh.mailosaur.net	14288784	AB	100380067
14288790	MACHAIAH	Deepa	1981-05-14	deepamachaiah@gll12lfh.mailosaur.net		14288790	AB	100380078
14288809	1304809	John	1990-01-01	testuser01@gll12lfh.mailosaur.net	testuser01@gll12lfh.mailosaur.net	14288809	AB	100380053
14288824	BERNARDO	Jessica	1996-07-29	jessica_bernardo29@gll12lfh.mailosaur.net		14288824	AB	100380167
14288835	DI NATALE	Madeleine Rose	1995-10-21	mdinatale95@gll12lfh.mailosaur.net		14288835	AB	100380112
14288839	GEORGE	Hannah	1993-04-17	hannahageorge@gll12lfh.mailosaur.net		14288839	AB	100380142
14288842	HEINZ	Elise	1989-09-22	elise-heinz@gll12lfh.mailosaur.net		14288842	AB	100380172
14288843	HO	Thi Phuong Dung	1986-12-25	phuongdung2512@gll12lfh.mailosaur.net		14288843	AB	100380173
14288851	JAMES	Jenny	1979-03-11	jentran333@gll12lfh.mailosaur.net		14288851	AB	100380117
14288852	JIANG	Wei	1991-06-11	wjiangamy@gll12lfh.mailosaur.net		14288852	AB	100380118
14288869	O'CALLAGHAN	Meaghan	1980-08-14	meaghan101@gll12lfh.mailosaur.net		14288869	AB	100380179
